Gene name	Human gene name
Lman2l	LMAN2L
Hmgb4	HMGB4
Gkn2	GKN2
Moxd1	MOXD1
Fscn2	FSCN2
Nectin2	NECTIN2
Cnksr2	CNKSR2
Dusp27	DUSP27
Ighv3-8	IGHV4-4
Ighv3-8	IGHV6-1
Ighv3-8	IGHV4-34
Ighv3-8	IGHV4-39
Ighv3-8	AC233755.1
Ighv3-8	IGHV4-28
Ighv3-8	IGHV4-61
Ighv3-8	IGHV4OR15-8
Ighv3-8	AC135068.2
Ighv3-8	IGHV4-59
Msh2	MSH2
Trappc2l	TRAPPC2L
Atp6v0a2	ATP6V0A2
Aqp1	AQP1
Fpr3	FPR2
Fpr2	FPR2
Bicc1	BICC1
Kcnk2	KCNK2
Frrs1l	FRRS1L
Exph5	EXPH5
Gm27021	C16orf74
Fpr-rs4	FPR3
Mga	MGA
Ghrhr	GHRHR
Slc7a5	SLC7A5
Akna	AKNA
Rars2	RARS2
Msi1	MSI1
Pou2f3	POU2F3
Ighv12-3	IGHV4-4
Ighv12-3	IGHV6-1
Ighv12-3	IGHV4-34
Ighv12-3	IGHV4-39
Ighv12-3	AC233755.1
Ighv12-3	IGHV4-28
Ighv12-3	IGHV4-61
Ighv12-3	IGHV4OR15-8
Ighv12-3	AC135068.2
Ighv12-3	IGHV4-59
Aga	AGA
Kdelc2	KDELC2
Slc4a10	SLC4A10
Tgfbr2	TGFBR2
F10	F10
Tubb3	AC092143.1
Tubb3	TUBB3
Olfr11	OR2B6
B4galnt2	B4GALNT2
Myo3a	MYO3A
Chd5	CHD5
Polr2k	POLR2K
Pfn3	PFN3
Timm9	TIMM9
Tomm40	TOMM40
Fbxo31	FBXO31
Ube2j1	UBE2J1
Itk	ITK
Ppp1r12a	PPP1R12A
BC030499	SGK494
Ggps1	GGPS1
Iltifb	IL22
Sox13	SOX13
Pvrig	PVRIG
Brox	BROX
5730508B09Rik	C4orf32
Zc2hc1b	ZC2HC1B
Tspan7	AF241726.2
Rap1a	RAP1A
Aadat	AADAT
AC158600.5	CDC5L
2010300C02Rik	KIAA1211L
Maip1	MAIP1
Avil	AVIL
AC158600.2	CDC5L
Tom1	TOM1
Lhx2	LHX2
Esm1	ESM1
Ehmt1	EHMT1
Il27ra	IL27RA
Gzmk	GZMK
Arntl2	ARNTL2
Tomm20l	TOMM20L
Tyw5	TYW5
9230110C19Rik	C11orf70
Def8	DEF8
Parp12	PARP12
Sdc1	SDC1
Unc5d	UNC5D
Trim68	TRIM68
AC158600.1	CDC5L
Arid4b	ARID4B
Tcp11x2	TCP11X2
Soat2	SOAT2
Palm3	PALM3
Bcl2a1a	BCL2A1
Nadk	NADK
B3gnt6	B3GNT6
Igfbp7	IGFBP7
Wdr6	WDR6
Dusp14	DUSP14
Ccdc127	CCDC127
Fam124a	FAM124A
Tmsb4x	TMSB4Y
Acer3	ACER3
Bcl6b	BCL6B
Dalrd3	DALRD3
Faap100	FAAP100
Aak1	AAK1
Cep126	CEP126
Gm4131	C13orf42
Zfp451	ZNF451
Cyp4a29	CYP4A22
Cyp4a29	CYP4A11
Hsph1	HSPH1
Galp	GALP
Gkn3	AC097495.1
Slc10a1	SLC10A1
Polr2b	POLR2B
Sharpin	SHARPIN
Neurod1	NEUROD1
Fbxo27	FBXO27
Stau1	STAU1
Hmgxb4	HMGXB4
Tdrd3	TDRD3
Syde1	SYDE1
Lrrc14b	LRRC14B
AC158600.4	CDC5L
Gm10031	CSNK2A1
Cerkl	CERKL
Ppp1r1b	PPP1R1B
Cep89	CEP89
Apaf1	APAF1
Ms4a14	MS4A14
Prr3	PRR3
Cgref1	CGREF1
Aida	AIDA
Gas2l1	GAS2L1
Cpeb2	CPEB2
Nr1h3	NR1H3
Plin5	PLIN5
Zfp397	ZNF397
Tsfm	TSFM
Trim43b	TRIM43
Trim43b	TRIM43B
Frrs1	FRRS1
Agxt2	AGXT2
Olfr1104	OR8I2
Emb	EMB
Drd2	DRD2
Olfr462	OR4D2
Gm43786	AC022167.5
Hist1h2ac	HIST1H2AB
Hist1h2ac	HIST1H2AE
Eif2s2	EIF2S2
Preb	PREB
Kdm7a	KDM7A
Tmem106a	TMEM106A
Sirt6	SIRT6
Irf2bp1	IRF2BP1
Gpr119	GPR119
Gnl1	GNL1
Foxa3	FOXA3
Gm10320	SEC61B
Ms4a7	MS4A7
Gm21973	PRLR
Nrgn	NRGN
Prrc2c	PRRC2C
Hist1h2bc	HIST1H2BF
Rwdd1	RWDD1
Dennd4c	DENND4C
Ccdc74a	CCDC74A
Ccdc74a	CCDC74B
Hk1	HK1
Ctgf	CTGF
Itga4	ITGA4
Flt4	FLT4
Pdzrn3	PDZRN3
Ppm1d	PPM1D
Rnf43	RNF43
Plac9a	PLAC9
Raly	RALY
Tfdp2	TFDP2
Pdgfra	PDGFRA
Wasf1	WASF1
Sh3bp5l	SH3BP5L
Akr1c21	AKR1C1
Akr1c21	AKR1C3
Akr1c21	AKR1C4
Akr1c21	AKR1C2
Grin3a	GRIN3A
Maged2	MAGED2
Slc5a10	SLC5A10
Rfx4	RFX4
Tmem204	TMEM204
Acpt	ACP4
Camk1d	CAMK1D
Rasl10a	RASL10A
C130060K24Rik	QRFPR
Ift140	IFT140
Cd8b1	CD8B
Rarres2	RARRES2
Sec16b	SEC16B
AC166263.2	GLIPR1L1
Ushbp1	USHBP1
Gm15517	AC010325.1
Tram1	TRAM1
Ppp3r2	PPP3R2
Epor	EPOR
Olfm1	OLFM1
4930505A04Rik	C2orf73
Rpl41	RPL41
Fbxo39	FBXO39
P4htm	P4HTM
Tmem254a	TMEM254
1190005I06Rik	C16orf74
Tmem260	TMEM260
Lypd8	LYPD8
Lcn12	LCN12
Olfr1245	OR4A5
Olfr1245	OR4A16
Olfr1245	OR4A8
Fam192a	FAM192A
Adamtsl4	ADAMTSL4
Hes1	HES1
Gpa33	GPA33
Suco	SUCO
Ifi205	MNDA
Fam83g	FAM83G
Cfap69	CFAP69
Hadhb	HADHB
Slc34a3	SLC34A3
Rnasek	RNASEK
Zcchc14	ZCCHC14
Rbmx2	RBMX2
Grap	GRAPL
Grap	GRAP
Lrrc61	LRRC61
Neil3	NEIL3
0610010K14Rik	RNASEK-C17orf49
0610010K14Rik	C17orf49
Evi2b	EVI2B
Smoc1	SMOC1
Evi2	EVI2B
Cd59b	CD59
Otud6b	OTUD6B
Fxyd2	FXYD2
Zscan5b	ZSCAN5B
Zscan5b	ZSCAN5C
Zscan5b	ZSCAN5A
Ankk1	ANKK1
Pdhb	PDHB
Olfr1360	OR2B2
Fam20c	FAM20C
B9d2	B9D2
Adam18	ADAM18
Omg	OMG
Zfp513	ZNF513
Mmachc	MMACHC
Chmp1a	CHMP1A
Evi2a	EVI2A
Evi2a	AC134669.2
Snx31	SNX31
Yars2	YARS2
Klk7	KLK7
Bcl2a1b	BCL2A1
Rrs1	RRS1
Acyp2	ACYP2
Stk17b	STK17B
Zfp24	ZNF24
Mthfs	ST20-MTHFS
Mthfs	MTHFS
Olfr459	OR9A2
Nf1	NF1
Tmem55a	TMEM55A
AC158600.3	CDC5L
AC158600.6	CDC5L
Cdkn1a	CDKN1A
Olfr557	OR51D1
Lrrc15	LRRC15
H2-Ob	HLA-DOB
Pcnx3	PCNX3
Sympk	SYMPK
Tex13c2	TEX13C
Tex13c2	TEX13D
Dab1	DAB1
Eif2b4	EIF2B4
Rbms3	RBMS3
Ndufv1	NDUFV1
Ttc12	TTC12
Pla2g4c	PLA2G4C
Krt222	AC073508.2
Krt222	KRT222
Gm5294	AC187653.1
Olfr1359	OR2B2
Whrn	WHRN
Gm29094	BCL2A1
Cd82	CD82
Pdgfa	PDGFA
Cacfd1	CACFD1
P2ry12	P2RY12
Foxf1	FOXF1
Dpf1	DPF1
Slfnl1	SLFNL1
Necab1	NECAB1
C8g	C8G
1700018B08Rik	AC010531.1
1700018B08Rik	C16orf95
Ltv1	AL049844.3
Ltv1	LTV1
Sec24b	SEC24B
Hist1h1t	HIST1H1T
Hist1h4c	HIST1H4B
Gpr171	GPR171
Rabgap1	RABGAP1
Tspan14	TSPAN14
Hnrnpu	HNRNPU
Med12l	MED12L
Nphp4	NPHP4
Piezo1	PIEZO1
Zbtb34	ZBTB34
Mfap3l	MFAP3L
Nipa2	NIPA2
Naca	NACA
Naca	NACA2
Hfe	HFE
a	ASIP
Zfp740	ZNF740
Epb41l4b	EPB41L4B
Il15ra	IL15RA
Tmem174	TMEM174
Fbxw5	FBXW5
Zfp385c	ZNF385C
Rln3	RLN3
Slc43a1	SLC43A1
Fam26e	FAM26E
Olfr430	OR6N2
Tmsb15a	TMSB15A
Tmsb15a	TMSB15B
Ifng	IFNG
Fam26d	FAM26D
Nkiras2	NKIRAS2
Ipo4	IPO4
Aebp2	AEBP2
Trappc3l	TRAPPC3L
Eef1a1	EEF1A1
Rfx1	RFX1
Olfr558	OR51E1
Mapk8	MAPK8
Abl2	ABL2
Rasip1	RASIP1
Tlr8	TLR8
Kcnab2	KCNAB2
Cphx1	AC025287.4
Cphx1	AC009122.1
Arih2	ARIH2
Mid1ip1	MID1IP1
Fubp3	FUBP3
Fstl5	FSTL5
Gm21988	RNASEK
Rspry1	RSPRY1
Ighv8-2	IGHV2-5
Ighv8-2	IGHV2-70
Ighv8-2	AC245369.1
Ighv8-2	IGHV2OR16-5
Ighv8-2	IGHV2-26
Dnajc7	DNAJC7
Tlr7	TLR7
Nos3	NOS3
Spag8	SPAG8
Shpk	AC027796.3
Shpk	SHPK
Wisp1	WISP1
Sox1	SOX1
Cd59a	CD59
Cox20	COX20
Ankrd54	ANKRD54
Izumo1	IZUMO1
Tsga10	TSGA10
Nup133	NUP133
Olfr429	OR6N1
Rab20	RAB20
Cyb5d2	CYB5D2
Slc2a1	SLC2A1
Abca13	ABCA13
Gprasp1	GPRASP1
Amotl2	AMOTL2
Spaar	SPAAR
Babam1	BABAM1
Tank	TANK
Igsf10	IGSF10
Sh2d1a	SH2D1A
Inhbb	INHBB
Ntng1	NTNG1
Ndufc2	NDUFC2-KCTD14
Ndufc2	NDUFC2
Prr30	PRR30
Ralb	RALB
Itga6	ITGA6
Snx17	SNX17
Prl2b1	PRL
Tnip3	TNIP3
Oaf	OAF
Tmem45b	TMEM45B
Bhlhb9	BHLHB9
Dnal1	DNAL1
Chil5	CHIA
Gpr87	GPR87
P2ry14	P2RY14
Vps9d1	VPS9D1
Dock4	DOCK4
Atg9b	ATG9B
Spaca7	SPACA7
Tenm1	TENM1
Mael	MAEL
Dbx2	DBX2
Ppp1r26	PPP1R26
Olfr463	OR4D2
Pifo	PIFO
Kcnd1	KCND1
Dnaaf5	DNAAF5
Tm9sf1	AL136295.1
Tm9sf1	TM9SF1
Ptpro	PTPRO
Cnp	CNP
P2ry13	P2RY13
Sap18b	SAP18
Nop58	NOP58
Tmem185b	TMEM185B
Gprasp2	GPRASP2
Dnajb12	DNAJB12
Olfr464	OR4D1
Prrc2a	PRRC2A
Pip	PIP
Ugt2b36	UGT2B17
Ugt2b36	UGT2B15
Ugt2b36	UGT2B10
Ugt2b36	UGT2B11
Ugt2b36	UGT2B28
Ugt2b36	UGT2B7
Ugt2b36	UGT2B4
Clk2	CLK2
Dhx58	DHX58
Eml5	EML5
Strbp	STRBP
Bbox1	BBOX1
Ankrd34b	ANKRD34B
Pnma1	PNMA1
Begain	BEGAIN
Cyp4a12a	CYP4A22
Cyp4a12a	CYP4A11
Zfyve9	ZFYVE9
Reg3d	REG3A
Reg3d	REG3G
Tekt1	TEKT1
Aff2	AFF2
Zzef1	ZZEF1
Cyp4a12b	CYP4A22
Cyp4a12b	CYP4A11
Gad2	GAD2
Igf2bp1	IGF2BP1
Xpo6	XPO6
Prkar1b	PRKAR1B
Itpr2	ITPR2
Cpd	CPD
Atp13a3	ATP13A3
Ephx3	EPHX3
Etfa	ETFA
Zfyve19	ZFYVE19
Olfr78	OR51E2
Adora3	ADORA3
Prps2	PRPS2
Cadm4	CADM4
Tmigd3	TMIGD3
Ltbp4	LTBP4
Maf1	MAF1
Tgfb1	TGFB1
A930018P22Rik	C11orf91
Tmem171	TMEM171
Eva1b	EVA1B
Reg3a	REG3A
Reg3a	REG3G
Lpcat1	LPCAT1
Slc35d2	SLC35D2
Pcnt	PCNT
Serpinb6e	SERPINB6
Ptges3	PTGES3
Zfp276	ZNF276
Hdac3	HDAC3
Tspan5	TSPAN5
Scn1b	SCN1B
Ralgapb	RALGAPB
Frmpd4	FRMPD4
6430573F11Rik	KIAA1456
Dytn	DYTN
Yy1	YY1
Usp7	USP7
Ndst2	AC022400.6
Ndst2	NDST2
Hist1h2ai	HIST1H2AB
Hist1h2ai	HIST1H2AE
Det1	DET1
Ubac1	UBAC1
Hist1h3h	HIST1H3G
Hist1h3h	HIST1H3I
Gpr21	GPR21
Dnajc17	DNAJC17
Tesk2	TESK2
Hist1h2bm	HIST1H2BD
Serpinb6c	SERPINB6
Zc3h14	ZC3H14
Armcx5	ARMCX5
Fbxo17	FBXO17
Ino80c	INO80C
4930550C14Rik	C11orf65
Eqtn	EQTN
5031439G07Rik	KIAA0930
Reg2	REG1A
Reg2	REG1B
Slc25a20	SLC25A20
Sphkap	SPHKAP
Olfr1246	OR4A5
Olfr1246	OR4A16
Olfr1246	OR4A8
Hsd17b14	HSD17B14
Gm14137	C15orf62
6430548M08Rik	KIAA0513
Ndnf	NDNF
Krt24	KRT24
Nploc4	NPLOC4
Zbtb32	ZBTB32
Ankle1	ANKLE1
Ddx27	DDX27
Epp13	EDDM13
Hsf2	HSF2
Prkar2a	PRKAR2A
Tsacc	TSACC
Psd2	PSD2
Dtnbp1	DTNBP1
Grm5	GRM5
Gpr6	GPR6
Bloc1s5	BLOC1S5-TXNDC5
Bloc1s5	BLOC1S5
Abcc12	ABCC12
Laptm4a	LAPTM4A
Toe1	TOE1
Gm38392	RHBG
Akr1e1	AKR1E2
Rhbg	RHBG
Slc15a2	SLC15A2
Rgs1	RGS1
Cfap54	CFAP54
Ptprc	PTPRC
Ighv1-4	IGHV1OR15-9
Ighv1-4	IGHV1-24
Ighv1-4	IGHV1-18
Ighv1-4	IGHV1OR21-1
Ighv1-4	AC135068.8
Ighv1-4	IGHV1-3
Ighv1-4	IGHV1-69
Ighv1-4	IGHV1-2
Ighv1-4	IGHV1-58
Ighv1-4	AC245369.4
Ighv1-4	AC136616.3
Ighv1-4	IGHV1-45
Ighv1-4	IGHV1-46
Ighv1-4	AC245369.3
Ighv1-4	IGHV1OR15-1
Fbxo11	FBXO11
Dtd2	AL139353.1
Dtd2	DTD2
Tbc1d4	TBC1D4
F2	F2
Epb41l5	EPB41L5
Arid2	ARID2
Klk6	KLK6
Fgd4	FGD4
Ndrg1	NDRG1
Mdh1b	MDH1B
Eif4a2	EIF4A2
Proz	PROZ
Pou3f3	POU3F3
Fat1	FAT1
Cd8a	CD8A
Pld4	PLD4
AF529169	KIAA1024
Srpk3	SRPK3
Ccdc158	CCDC158
Spata16	SPATA16
Prdm5	PRDM5
Ip6k2	IP6K2
D3Ertd751e	C4orf33
Chrm3	CHRM3
Tmed3	TMED3
Ccdc163	CCDC163
9330182L06Rik	KIAA1324L
Ccnb1	CCNB1
Sult1c2	SULT1C2
Fig4	FIG4
Mrps12	MRPS12
Fam109a	FAM109A
Upk1a	UPK1A
Ssbp3	SSBP3
Cylc2	CYLC2
Reg1	REG1A
Reg1	REG1B
F12	F12
Slc38a7	SLC38A7
Zbtb43	ZBTB43
Kcnq1	KCNQ1
Dnah10	DNAH10
Ppp2ca	PPP2CA
Slc17a6	SLC17A6
Nckipsd	NCKIPSD
Ano7	ANO7
Clec7a	CLEC7A
Spata2l	SPATA2L
Reg3g	REG3A
Reg3g	REG3G
AC069561.5	OR8B12
Brd4	BRD4
Ankrd34c	ANKRD34C
Car5a	CA5A
Bcam	BCAM
H2-T23	HLA-E
H2-T23	HLA-B
H2-T23	HLA-C
H2-T23	HLA-G
H2-T23	HLA-A
H2-T23	HLA-F
Matn3	MATN3
Gle1	GLE1
Cep57	CEP57
Adgra3	ADGRA3
Otx2	OTX2
Arhgef25	ARHGEF25
Tjap1	TJAP1
Caps2	CAPS2
Gnl3l	GNL3L
Emc8	EMC8
Arl11	ARL11
Cars2	CARS2
Phactr2	PHACTR2
Zfp768	ZNF768
Sun1	SUN1
Ecm1	ECM1
Cfap44	CFAP44
Tmem87b	TMEM87B
Drc3	DRC3
H2-T22	HLA-E
H2-T22	HLA-B
H2-T22	HLA-C
H2-T22	HLA-G
H2-T22	HLA-A
H2-T22	HLA-F
Ms4a4a	MS4A4E
Ms4a4a	MS4A4A
Olfr156	OR13C7
Urb2	URB2
Ms4a4c	MS4A4E
Ms4a4c	MS4A4A
Fibin	FIBIN
2700049A03Rik	KIAA0586
Msl3	MSL3
Slc37a3	SLC37A3
Olfr1247	OR4A5
Olfr1247	OR4A16
Olfr1247	OR4A8
Klhl22	KLHL22
Mfn2	MFN2
Gas8	GAS8
Ercc6l2	ERCC6L2
Tex43	TEX43
Psmd11	PSMD11
Nfxl1	NFXL1
Ugt2b5	UGT2B17
Ugt2b5	UGT2B15
Ugt2b5	UGT2B10
Ugt2b5	UGT2B11
Ugt2b5	UGT2B28
Ugt2b5	UGT2B7
Ugt2b5	UGT2B4
Spdl1	SPDL1
Naxd	NAXD
Enpp1	ENPP1
Fastkd2	FASTKD2
Nrxn1	NRXN1
Foxc2	FOXC2
Osbpl11	OSBPL11
Dut	DUT
Zfpm1	ZFPM1
Uqcc2	UQCC2
Pa2g4	AC034102.2
Pa2g4	PA2G4
Strc	STRC
Rab12	RAB12
Gpr33	GPR33
Gcnt1	GCNT1
Pabpc1	PABPC3
Pabpc1	PABPC1
Adig	ADIG
Mthfsd	MTHFSD
Bmp10	BMP10
Zfp428	ZNF428
Maea	MAEA
Arhgap40	ARHGAP40
Sh3d21	SH3D21
Ugt2b37	UGT2B17
Ugt2b37	UGT2B15
Ugt2b37	UGT2B10
Ugt2b37	UGT2B11
Ugt2b37	UGT2B28
Ugt2b37	UGT2B7
Ugt2b37	UGT2B4
Ryk	RYK
Atxn7l1	ATXN7L1
Ntrk2	NTRK2
Ckmt1	CKMT1B
Ckmt1	CKMT1A
Tead4	TEAD4
Lmnb1	LMNB1
Prep	PREP
Gramd1a	GRAMD1A
Sipa1l3	SIPA1L3
Rab44	RAB44
Epha6	EPHA6
Enox2	ENOX2
Rfc4	RFC4
Cux2	CUX2
Zfp667	ZNF667
Selenok	SELENOK
Fgfbp3	FGFBP3
Gabrr2	GABRR2
Usp11	USP11
Thrsp	THRSP
Btaf1	BTAF1
Palmd	PALMD
4933405L10Rik	C16orf86
Nubpl	NUBPL
Gm11634	LINC00854
Adcyap1r1	ADCYAP1R1
Hint2	HINT2
Klk5	KLK5
Enkd1	ENKD1
Kctd14	KCTD14
Supt20	SUPT20H
Nutm2	NUTM2D
Nutm2	NUTM2A
Nutm2	NUTM2B
Nutm2	NUTM2G
Nutm2	NUTM2E
Nutm2	NUTM2F
Pid1	PID1
Ftl1-ps1	FTL
Themis2	THEMIS2
Isl2	ISL2
AC165366.1	AL353572.3
Tada2a	TADA2A
Idh3g	IDH3G
Dlc1	DLC1
Lactb2	LACTB2
Fam26f	FAM26F
Fn1	FN1
Rfk	RFK
Tas2r139	TAS2R39
Ap3d1	AP3D1
Tas2r144	TAS2R40
Lmx1b	LMX1B
Aen	AEN
Dynll2	DYNLL2
Zfp747	ZNF764
Zfp747	AC002310.5
Zfp747	ZNF747
Ip6k3	IP6K3
Pcid2	PCID2
Irgq	IRGQ
D430041D05Rik	KIAA1549L
Galc	GALC
Irx5	IRX5
Abcb10	ABCB10
Rasgrf1	RASGRF1
Gstk1	GSTK1
Rnf224	RNF224
Cenpf	CENPF
Duxbl1	DUXB
Siae	SIAE
Znfx1	ZNFX1
Krt25	KRT25
G6pdx	G6PD
Esr2	ESR2
Foxl1	FOXL1
Bend6	BEND6
Otud5	OTUD5
Pla2g1b	PLA2G1B
Rnf166	RNF166
Olfr1248	OR4A5
Olfr1248	OR4A16
Olfr1248	OR4A8
Atm	ATM
Zfp583	ZNF583
Pinlyp	PINLYP
Tmem64	TMEM64
Rgl3	RGL3
Rtbdn	RTBDN
Ugt2a3	UGT2A3
Vegfc	VEGFC
Dgcr2	DGCR2
Ahnak2	AHNAK2
Rpl13	RPL13
Xkr9	XKR9
Cysrt1	CYSRT1
Slc17a5	SLC17A5
Slc7a9	SLC7A9
Popdc3	BVES
Popdc3	POPDC3
Tlr4	TLR4
H2-Ab1	HLA-DQB1
H2-Ab1	HLA-DQB2
Ikbkg	IKBKG
Ighv1-7	IGHV1OR15-9
Ighv1-7	IGHV1-24
Ighv1-7	IGHV1-18
Ighv1-7	IGHV1OR21-1
Ighv1-7	AC135068.8
Ighv1-7	IGHV1-3
Ighv1-7	IGHV1-69
Ighv1-7	IGHV1-2
Ighv1-7	IGHV1-58
Ighv1-7	AC245369.4
Ighv1-7	AC136616.3
Ighv1-7	IGHV1-45
Ighv1-7	IGHV1-46
Ighv1-7	AC245369.3
Ighv1-7	IGHV1OR15-1
Ubl7	UBL7
Smtnl2	SMTNL2
Rnf208	RNF208
Dyrk2	DYRK2
Polr3e	POLR3E
Wnt2	WNT2
Acta1	ACTA1
Grm4	GRM4
Nacc2	NACC2
Snx18	SNX18
Trpv1	TRPV1
Slc30a9	SLC30A9
I830077J02Rik	C1orf162
Gstp1	GSTP1
Ebpl	EBPL
Ccdc92	CCDC92
BC022687	C14orf79
Tcf25	TCF25
Scgb3a1	SCGB3A1
Slc32a1	SLC32A1
Slc25a29	SLC25A29
Klk4	KLK4
Wdr35	WDR35
Asb5	ASB5
Sirt4	SIRT4
9030624G23Rik	ZNF625-ZNF20
9030624G23Rik	AC008770.2
9030624G23Rik	ZNF69
Exosc8	EXOSC8
Spa17	SPA17
Trim29	TRIM29
Apbb1ip	APBB1IP
Dse	DSE
Olfr1249	OR4A5
Olfr1249	OR4A16
Olfr1249	OR4A8
Hist1h1c	HIST1H1C
1700017N19Rik	C12orf50
Pcdh20	PCDH20
Pcdh20	AL592490.1
Ostf1	OSTF1
Sult1c1	SULT1C3
Olfr1250	OR4A5
Olfr1250	OR4A16
Olfr1250	OR4A8
Myo3b	MYO3B
Tsr2	TSR2
Fam213a	FAM213A
Spata4	SPATA4
Tspan10	TSPAN10
Olr1	OLR1
Arhgap5	ARHGAP5
Tbrg1	TBRG1
Kpna3	KPNA3
Elmsan1	ELMSAN1
Serpinb6a	SERPINB6
Mysm1	MYSM1
1700093K21Rik	C2orf74
Abhd8	ABHD8
Slc12a8	SLC12A8
Arhgap6	ARHGAP6
Boc	BOC
Uvssa	UVSSA
Gm20518	DGCR2
Fgd1	FGD1
Plod1	PLOD1
Ildr2	ILDR2
Gsg1l2	GSG1L2
Bcat2	BCAT2
Fam151b	FAM151B
Slc5a12	SLC5A12
Telo2	TELO2
Smco2	SMCO2
Gabrr1	GABRR1
Olfr1251	OR4A5
Olfr1251	OR4A16
Olfr1251	OR4A8
Rhof	RHOF
Slit3	SLIT3
Gm35339	WDR97
Relt	RELT
Zc3h11a	ZC3H11B
Zc3h11a	ZC3H11A
Adamts6	ADAMTS6
Srsf1	SRSF1
Dhrs7c	DHRS7C
Gas2	GAS2
Tmem120b	TMEM120B
1700088E04Rik	C22orf23
Olfr157	OR13C7
Cd109	CD109
Lrrtm4	LRRTM4
Prpsap2	PRPSAP2
Mamstr	MAMSTR
Ajap1	AJAP1
Got2	GOT2
Ric8b	RIC8B
Klk1b1	KLK1
Barx2	BARX2
Gm38394	ZBED6
Echdc2	ECHDC2
Agbl3	AGBL3
Casp2	CASP2
Olfr1111	OR5AS1
Klk1b8	KLK1
Actr5	ACTR5
1700007K13Rik	C9orf116
Pawr	PAWR
Fancf	FANCF
Tmem161a	TMEM161A
Olfr1357	OR1I1
Klk15	KLK15
Ints4	INTS4
Cdca4	CDCA4
Irx6	IRX6
Zbed6	ZBED6
March3	MARCH3
Ggt6	GGT6
Cnot6	CNOT6
Mylip	MYLIP
Ttc39c	TTC39C
Olfr1252	OR4A5
Olfr1252	OR4A16
Olfr1252	OR4A8
Cntn6	CNTN6
Ints6	INTS6
Klk1b9	KLK1
Hpf1	HPF1
Zfyve16	ZFYVE16
Qtrt1	QTRT1
Swt1	SWT1
Amelx	AMELY
Amelx	AMELX
Dcaf17	DCAF17
Prmt6	PRMT6
Map7d3	MAP7D3
Xrcc1	XRCC1
Atp5b	ATP5B
Slc25a47	SLC25A47
Spata5	SPATA5
Gpr132	GPR132
A430005L14Rik	C1orf174
St6gal2	ST6GAL2
Dnmt1	DNMT1
Cdkn1c	CDKN1C
Usp21	USP21
9130019O22Rik	ZNF764
9130019O22Rik	AC002310.5
9130019O22Rik	ZNF747
Mrps9	MRPS9
Grn	GRN
Ripk1	RIPK1
Mta2	MTA2
Des	DES
Olfr125	OR14J1
Gm1673	C4orf48
Tor3a	TOR3A
Pcdh9	PCDH9
Tmigd1	TMIGD1
Ighv15-2	IGHV1OR15-9
Ighv15-2	IGHV1-24
Ighv15-2	IGHV1-18
Ighv15-2	IGHV1OR21-1
Ighv15-2	AC135068.8
Ighv15-2	IGHV1-3
Ighv15-2	IGHV1-69
Ighv15-2	IGHV1-2
Ighv15-2	IGHV1-58
Ighv15-2	AC245369.4
Ighv15-2	AC136616.3
Ighv15-2	IGHV1-45
Ighv15-2	IGHV1-46
Ighv15-2	AC245369.3
Ighv15-2	IGHV1OR15-1
Hist1h2bb	HIST1H2BB
Mrc2	MRC2
Gstp2	GSTP1
Smc2	SMC2
Dffb	DFFB
Pm20d2	PM20D2
Rgs21	RGS21
Ighv1-9	IGHV1OR15-9
Ighv1-9	IGHV1-24
Ighv1-9	IGHV1-18
Ighv1-9	IGHV1OR21-1
Ighv1-9	AC135068.8
Ighv1-9	IGHV1-3
Ighv1-9	IGHV1-69
Ighv1-9	IGHV1-2
Ighv1-9	IGHV1-58
Ighv1-9	AC245369.4
Ighv1-9	AC136616.3
Ighv1-9	IGHV1-45
Ighv1-9	IGHV1-46
Ighv1-9	AC245369.3
Ighv1-9	IGHV1OR15-1
H2-Aa	HLA-DQA2
H2-Aa	HLA-DQA1
Dok3	DOK3
Mrpl34	MRPL34
Nmrk1	NMRK1
Zfp825	ZNF101
Zfp825	ZNF878
Olfr566	OR51F1
Pde6g	PDE6G
Cfap161	CFAP161
Tnfaip8l1	TNFAIP8L1
Foxn2	FOXN2
Calb1	CALB1
Alox5	ALOX5
Dner	DNER
Slc35e2	SLC35E2B
Brinp1	BRINP1
Atxn1	ATXN1
Tsku	TSKU
Sox2	SOX2
Oxld1	OXLD1
Psme4	PSME4
Car14	CA14
Wiz	WIZ
Sox2ot	SOX2-OT
Fuca2	FUCA2
Ctsc	CTSC
Ppp1r16b	PPP1R16B
Galnt1	GALNT1
Hspb3	HSPB3
2510039O18Rik	KIAA2013
Krt26	KRT26
Hccs	HCCS
Nqo2	NQO2
Ano8	ANO8
C8b	C8B
Fam171a2	FAM171A2
Il17c	IL17C
Slc30a5	SLC30A5
Klrg1	KLRG1
Rassf10	RASSF10
Pxn	PXN
Hist1h2ab	HIST1H2AB
Hist1h2ab	HIST1H2AE
Aph1a	APH1A
Dbndd1	DBNDD1
Them4	THEM4
Wdr77	WDR77
Thrap3	THRAP3
Gm3854	ZNF582
Fgf2	FGF2
Krt27	KRT27
Slc24a4	SLC24A4
Lrrc40	LRRC40
Nfu1	NFU1
Gmpr	GMPR
Ywhaz	YWHAZ
Osbpl3	OSBPL3
Gfod2	GFOD2
Col25a1	COL25A1
Cdk11b	CDK11A
Cdk11b	CDK11B
Dda1	DDA1
Olfr918	OR8B2
Olfr918	OR8B3
Hyou1	HYOU1
Strip2	STRIP2
Olfr1253	OR4A5
Olfr1253	OR4A16
